model,operating_point,seed,mAP50,mAP50_95,precision,recall
YOLOv8m,bull_fs20,42,0.6794620033599745,0.23981611578885037,0.9111447895585159,0.6754836162652981
YOLOv8m,bull_fs20,123,0.6887115432045683,0.2532691789004945,0.9130430776601883,0.6823924200552705
YOLOv8m,bull_fs20,2024,0.7059536220181069,0.2950416249720891,0.9249530221787121,0.6860731110021019
YOLOv8m,bull_fs20,2025,0.6946866668038603,0.28659366281226956,0.9131620897163774,0.6831819976312673
YOLO11m,bull_fs20_subset,101,0.6919739378136845,0.2580751404753453,0.9105042537700013,0.694236083695223
YOLO11m,bull_fs20_subset,202,0.6525795942095873,0.21051510845913887,0.8892469996604022,0.6673904461113305
YOLO11m,bull_fs20_subset,303,0.6691586632198743,0.2228445300519688,0.8923150113978772,0.6788064316241729
YOLO26m,bull_fs20_subset,101,0.7060937821570692,0.3466563723054706,0.9228712361025095,0.7023292538491906
YOLO26m,bull_fs20_subset,202,0.6735288622359124,0.30977274239735014,0.9118432691527528,0.6816028424792736
YOLO26m,bull_fs20_subset,303,0.6923110615928885,0.33631916828266595,0.9226339978506874,0.6912751677852349
YOLO26n,bull_fs20_subset,101,0.5614753395287982,0.19299332063686173,0.8107989353028875,0.609055562474617
YOLO26n,bull_fs20_subset,202,0.618928889754218,0.20907579461633835,0.8528812791040358,0.6375838926174496
YOLO26n,bull_fs20_subset,303,0.6228757307071523,0.2416304460565566,0.858373477188235,0.6375838926174496
YOLOv8m,bull_fs20_subset,101,0.6847214662805049,0.260720004001725,0.919029388961238,0.685748124753257
YOLOv8m,bull_fs20_subset,202,0.6598920602549969,0.20589764633623298,0.8908976919722835,0.6589024871693644
YOLOv8m,bull_fs20_subset,303,0.6760798296950736,0.2211098130596835,0.9098867145894842,0.6679826292933281
YOLO11m,bull_fs50,42,0.7014572085141669,0.35486204273864674,0.9281574498088222,0.7025266482431899
YOLO11m,bull_fs50,2024,0.7007372575223868,0.356603214416804,0.9281959531984546,0.7013422818791947
YOLO26m,bull_fs50,42,0.7213828714808854,0.38775166930779026,0.9447462254636659,0.7053981605993801
YOLO26m,bull_fs50,2024,0.721526955263234,0.38739735560751176,0.9425732536084076,0.7063048896207351
YOLO26n,bull_fs50,42,0.6970025423311463,0.35545447197527275,0.9229236647732291,0.685452785668982
YOLO26n,bull_fs50,2024,0.6947038871157012,0.3535172662342861,0.9210829681078779,0.6835767864192657
YOLOv8m,bull_fs50,42,0.7073924246225752,0.3646866391229431,0.9260567194995548,0.696012633241216
YOLOv8m,bull_fs50,2024,0.7022131314127342,0.36777688070700043,0.9218159050629996,0.6958758964778523
YOLO11m,bull_zs,7,0.32480945604194056,0.09347169639427752,0.5355283636558793,0.44052756470393467
YOLO11m,bull_zs,42,0.29042642716499917,0.08140106407729102,0.5420282482494464,0.39983444622261466
YOLO11m,bull_zs,123,0.4661497450982983,0.12212631652167008,0.7092732101039725,0.5235472656034436
YOLO11m,bull_zs,2024,0.04303020683088723,0.009584719703170572,0.22579129119924804,0.12195794934054412
YOLO11m,bull_zs,2025,0.0839379209885468,0.017427280679544726,0.2655569318988434,0.2105844048341703
YOLO26m,bull_zs,7,0.352397677551177,0.1130181467244806,0.6183862227896982,0.43832018100546327
YOLO26m,bull_zs,42,0.37368933118667325,0.11733993920713744,0.6019852524106637,0.4685392638375366
YOLO26m,bull_zs,123,0.38773541021440644,0.11959521272530423,0.6677865733922435,0.480426025053805
YOLO26m,bull_zs,2024,0.4942978103326996,0.1241390827960189,0.6768568926790269,0.5886761216268418
YOLO26m,bull_zs,2025,0.39285843869023834,0.11818266847617127,0.618023008095441,0.5122896087412394
YOLO26n,bull_zs,7,0.5656692233563334,0.1897057630749212,0.8394431427031775,0.5853552297509097
YOLO26n,bull_zs,42,0.4743993976690377,0.14456896850441278,0.769885002832223,0.5317697698802495
YOLO26n,bull_zs,123,0.3997566603006655,0.11557653828504129,0.5869369426509203,0.5106782186413553
YOLO26n,bull_zs,2024,0.1545996564154581,0.038740826101645684,0.4033765001017018,0.32831521439214173
YOLO26n,bull_zs,2025,0.3945886375861477,0.11892735491309778,0.5883697563426274,0.5170354836929529
YOLOv8m,bull_zs,7,0.22397100691100774,0.057486954744072026,0.5300219871476203,0.332498206500745
YOLOv8m,bull_zs,42,0.14657780599313505,0.03912579124394385,0.4374683543706474,0.24883836432867942
YOLOv8m,bull_zs,123,0.24301500075072846,0.06727846850861864,0.5511251401253872,0.3017824623365156
YOLOv8m,bull_zs,2024,0.44931446956457965,0.11906724159455698,0.6106344547301874,0.5372882291264279
YOLOv8m,bull_zs,2025,0.09256580694819755,0.022930410367837543,0.31722306077524015,0.2063798325754384
YOLO11m,source_val,7,0.9764195524493909,0.6246351126043137,0.936153148239683,0.962664750542325
YOLO11m,source_val,42,0.9710045965020129,0.6315746585189095,0.9185282607868718,0.9534043512810966
YOLO11m,source_val,123,0.9712272413972559,0.6221834285600932,0.9232827398650272,0.9518792262934423
YOLO11m,source_val,2024,0.9686494596453324,0.6159587931935763,0.908296579694651,0.9655999370970278
YOLO11m,source_val,2025,0.976913140811761,0.6273970528877932,0.9516554113996191,0.9572259789275043
YOLO26m,source_val,7,0.9721672871559636,0.6336788217551153,0.9379293407827229,0.95868061015883
YOLO26m,source_val,42,0.9827253348244331,0.6209088544403707,0.9523809249309396,0.9467683598050007
YOLO26m,source_val,123,0.9778442681775978,0.627613217069714,0.946489059841035,0.9622189023431357
